epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2279.43,0.30066,0.25403,0.79576,0.99405,0.96724,0.9861,0.93328,0.33469,0.24569,0.77885,0.000198125,0.000198125,0.000198125
70,2305.13,0.29167,0.25137,0.79215,0.99452,0.96736,0.98612,0.93214,0.34773,0.24293,0.78191,0.000182656,0.000182656,0.000182656
71,2335.04,0.29814,0.25236,0.77926,0.99433,0.96698,0.98687,0.92982,0.33572,0.24271,0.78171,0.000167188,0.000167188,0.000167188
72,2361.29,0.28957,0.24496,0.79322,0.99529,0.96791,0.98444,0.9369,0.32978,0.25111,0.78062,0.000151719,0.000151719,0.000151719
73,2387.69,0.29044,0.24123,0.79439,0.99248,0.96773,0.98722,0.93821,0.31685,0.23643,0.78176,0.00013625,0.00013625,0.00013625
74,2413.29,0.28891,0.24876,0.79564,0.99177,0.9674,0.98729,0.93489,0.31931,0.24057,0.78136,0.000120781,0.000120781,0.000120781
75,2439.19,0.27204,0.23147,0.7923,0.99166,0.96751,0.98823,0.94228,0.31257,0.2299,0.78181,0.000105312,0.000105312,0.000105312
76,2465.34,0.27359,0.2357,0.78283,0.96871,0.98824,0.98825,0.93889,0.33137,0.23368,0.78223,8.98437e-05,8.98437e-05,8.98437e-05
77,2490.63,0.27271,0.22971,0.7855,0.99031,0.96713,0.98827,0.94386,0.3129,0.22605,0.7803,7.4375e-05,7.4375e-05,7.4375e-05
78,2516.18,0.26377,0.22319,0.79181,0.99192,0.96718,0.98782,0.94739,0.31168,0.2279,0.78112,5.89062e-05,5.89062e-05,5.89062e-05
79,2540.44,0.25909,0.21839,0.77852,0.99222,0.9671,0.98782,0.94576,0.31809,0.22968,0.78018,4.34375e-05,4.34375e-05,4.34375e-05
80,2566.23,0.26063,0.21638,0.78554,0.99201,0.96688,0.98849,0.94741,0.31222,0.22684,0.78027,2.79687e-05,2.79687e-05,2.79687e-05
